TransactionID,SaleDate,ItemTitle,SalePrice,SalesChannel,Country,Quantity,Brand,Category,SaleYear,SaleMonth
2108,2024-04-16,Chanel 24S Thong Flip Flips Black with Diamond CC logo 38,1287.0,Organic,United States,1,Chanel,Other,2024,April
2107,2024-04-13,NIB Chanel 23K Slingbacks Black Patent Leather Blocked Heels CC Size 38,1175.0,Organic,United States,1,Chanel,Shoes,2024,April
2106,2024-04-11,BNIB Hermes Twilly Charms Patisserie Franca in Noir/Blanc/Bleu,269.0,Organic,United States,1,Hermès,Other,2024,April
2105,2024-04-08,BNIB Hermes Collier De Chien 24 Bracelet T2 in Etoupe Epsom Leather with Gold HW,689.0,Organic,United States,1,Hermès,Jewelry,2024,April
2104,2024-04-08,BNIB Hermes Twilly 100% Silk Space Derby twilly In creme/bleu/multicolor,169.0,Organic,United States,1,Hermès,Other,2024,April
2103,2024-04-08,BNIB Hermes Birkin 25 Black Epsom Sellier Palladium Hardware 2024 Complete Rec,27900.0,Organic,United States,1,Hermès,Handbag,2024,April
2102,2024-04-07,BNIB Hermes Birkin 25 Black Epsom Sellier Palladium Hardware 2024 Complete Rec,27900.0,Organic,United States,1,Hermès,Handbag,2024,April
2101,2024-04-07,BNIB Hermes Story Twilly in Noir/Rose/Gris,169.0,Organic,United States,1,Hermès,Other,2024,April
2100,2024-04-07,Hermes Oran Vert  Fonce Velvet Suede Size 38 BNIB,594.0,Organic,United States,1,Hermès,Other,2024,April
2098,2024-04-03,BNIB Hermes Cotton Long TShirt Embroidered Pocket Straight in Noir Black sz 36,399.0,Organic,United States,1,Hermès,Other,2024,April
2097,2024-04-02,BNIB Hermes Dare Calfskin/Wool Skin Sneaker Size 37.5 In Blanc/Ecru,711.75,Organic,United States,1,Hermès,Other,2024,April
2096,2024-04-02,Hermes Climb Calfskin/metallic Women’s Sneaker Size 37 In gris Argent,674.25,Organic,United States,1,Hermès,Other,2024,April
2095,2024-03-31,Hermes Game slip-on Sneaker in Beige with Rose gold Kelly hw 38,990.0,Organic,United States,1,Hermès,Handbag,2024,March
2094,2024-03-31,NEW Hermes Chale 140 Cashmere Tatouages Marins Bandana Shawl Rose Bonbon/jaune,990.0,Organic,United States,1,Hermès,Other,2024,March
2093,2024-03-31,NEW Goyard Sac Saigon Souple Mini Bag With Crossbody Strap In Black And Tan,4220.0,Organic,Brunei,1,Goyard,Handbag,2024,March
2092,2024-03-30,HERMES Cardigan 8H Rose Aphrodite Size 36 NEW,899.0,Organic,United States,1,Hermès,Other,2024,March
2091,2024-03-28,NEW Hermes Robe Droite In Brides De Gala Straight Dress Noir 36,499.0,Organic,United States,1,Hermès,Other,2024,March
2090,2024-03-28,Hermes Flagship Silk Scarf 90 in Marine Fonce/ Jaune Multicolore NEW,399.0,Organic,United States,1,Hermès,Accessories,2024,March
2089,2024-03-28,BNIB HERMES Cavalier En Formes scarf 90 Silk in JH/Vert Amande/ Jaune,399.0,Organic,United States,1,Hermès,Accessories,2024,March
2088,2024-03-28,BNIB Hermes Fine Jewelry Diamond Finesse Lariat Necklace 18K,4400.0,Organic,United States,1,Hermès,Jewelry,2024,March
2087,2024-03-26,BNIB Chanel Nano Shopping Bag Tweed Gold-Tone Pink Barbie Small Size 24P,5300.0,Organic,United States,1,Chanel,Handbag,2024,March
2086,2024-03-26,BNIB Hermes Robe Chemise Noir Black Mosaique Shirt Dress/Cardigan Size 34 $3800,1782.0,Organic,United States,1,Hermès,Other,2024,March
2085,2024-03-25,BNIB Hermes Danse Pacifique Twilly in Jaune D'or/Kaki,169.0,Organic,United States,1,Hermès,Other,2024,March
2084,2024-03-25,Hermes Flore 60 H Platform Mule Size 36.5 In Noir Patent Leather BNIB,826.2,Organic,United States,1,Hermès,Other,2024,March
2083,2024-03-25,"NEW Hermes “Icones au Carre"" denim jacket Men 52 SOLD OUT IN STORES!",3500.0,Organic,United States,1,Hermès,Other,2024,March
2082,2024-03-25,BNIB Hermes Splash Park Twilly in Blanc/Orange/Vert De Gris,169.0,Organic,United States,1,Hermès,Other,2024,March
2081,2024-03-22,BNIB Hermes Kelly 28 Black Sellier Epsom Gold Permabrass Champagne Hw B Stamp,22400.0,Organic,United States,1,Hermès,Handbag,2024,March
2080,2024-03-19,BNIB HERMES Flagship Scarf Silk in SN/Rouge/Bleu/Beige D,399.0,Organic,United States,1,Hermès,Accessories,2024,March
2079,2024-03-18,BNIB Loro Piana Extra Pocket L27 Vanity Pouch Crossbody Bag P500 Kummel,3870.0,Organic,Singapore,1,Other,Handbag,2024,March
2078,2024-03-18,*BNIB* Hermes Rodeo Pegase PM Touch Bag Charm Limited Craie Milo/Matte Alligator,1197.0,Organic,Taiwan,1,Hermès,Handbag,2024,March
2077,2024-03-15,BNIB Hermes Kelly Pocket Strap 105 Cm In Gold With Gold HW NEW,2998.0,Promoted,United States,1,Hermès,Handbag,2024,March
2076,2024-03-15,Canvas Printed CC Mini Clutch With Chain Multicolor,1250.0,Organic,United States,1,Other,Handbag,2024,March
2075,2024-03-14,*BNIB* Hermes Rodeo Pegase PM Bag Charm Gold/Craie/Etoupe Milo Lambskin,693.0,Organic,United States,1,Hermès,Handbag,2024,March
